team_id,primary,primary_link,secondary,tertiary
109,#a71930,#a71930,#000,#e3d4ad
144,#0f437c,#af0039,#af0039,#bebebe
110,#000000,#d05301,#d15809,#f5e2af
111,#ba313c,#ba313c,#0d2b56,#cccccc
112,#0e3386,#ba313c,#d82427,#cdcfc5
145,#000000,#cc3333,#666666,#cccccc
113,#c6011f,#c6011f,#f7c240,#e1d3a6
114,#cc0000,#003366,#cccccc,#cccccc
115,#000000,#342474,#333366,#cccccc
116,#003366,#003366,#ff6600,#cccccc
117,#002D62,#002D62,#EB6E1F,#c6c394
118,#004687,#004687,#000000,#cccccc
108,#ba0021,#ba0021,#00234b,#cccccc
119,#083c6b,#0f3e6f,#f21445,#cfd5d5
146,#000000,#000000,#FF6600,#0077C8
158,#0a2351,#0a2351,#b6922e,#d3cda3
142,#042462,#042462,#bc0033,#cccccc
121,#003581,#ff5910,#ff5731,#e6e6e6
147,#132448,#27458d,#ceb72d,#cdcdce
133,#003831,#003831,#f3ea21,#fef9c4
143,#e81828,#284898,#284898,#ffffff
134,#000000,#cc0033,#e1b81e,#cccccc
135,#05143f,#05143f,#559dc5,#cccccc
136,#0c2c56,#0c2c56,#005c5c,#cccccc
137,#000000,#862612,#fd5a1e,#cfd0bf
138,#c41e3a,#04437d,#ffff00,#bcb9b9
139,#092c5c,#092c5c,#8fbce6,#f5d130
140,#003278,#003278,#000000,#cccccc
141,#003399,#003399,#0099cc,#c9d8e5
120,#11225b,#11225b,#ba122b,#c29949
